episode,reward
1,-155.9735638089679
2,-170.72764221923325
3,-33.39629766199879
4,-184.50376109666385
5,-347.46678401475776
6,-110.02022113064477
7,-229.8518559543324
8,-124.51026384258735
9,-103.31174795703336
10,-106.3093999295171
11,11.867606382635543
12,-90.23824364156683
13,-222.86063892540614
14,-206.6454547236475
15,-285.0584302530191
16,-182.40278724618372
17,-193.7252978059709
18,-304.01734323564915
19,-95.6303266289729
20,-123.03654679794349
21,-89.66009814928935
22,-136.71415398124006
23,-142.10866422379883
24,-517.6261958581678
25,-152.6784283872745
26,-201.4374103407312
27,-154.14015059534876
28,-292.7119357960753
29,-160.32763787274655
30,-83.40526876729683
31,-115.80964387465727
32,-78.3747500843993
33,-259.430452644799
34,-170.64207809523313
35,-48.947219244711576
36,1.8569193962763109
37,-160.94821995317284
38,-78.03331475596741
39,-76.44425837029233
40,-94.24214576187498
41,-161.64968268049182
42,-84.86746673154161
43,-190.79820481604594
44,-90.90498406964474
45,-124.20095544419765
46,-134.70079291210223
47,-161.20117753015586
48,-220.81164388699256
49,-92.85462980424879
50,-128.6175120529305
51,-44.62025384710394
52,-103.87746133460924
53,-124.09781415184945
54,-133.9985681124656
55,-220.53489456746942
56,-225.32201881181047
57,3.8283771879698776
58,-139.9638348862383
59,-56.281935363280766
60,-200.64622450488076
61,-121.83079823417292
62,-21.634808174894445
63,-71.96604694746307
64,-89.0333532908987
65,-122.21243586654316
66,-27.072800354027464
67,-117.70406554438287
68,-76.935918556139
69,-94.06608632816052
70,-188.35276535519003
71,-55.8583310792618
72,-85.6774475692072
73,-74.04161369587487
74,-171.18917090298424
75,-109.13282728284914
76,-109.74771547361158
77,-46.81829563433497
78,-118.53309606274975
79,-195.29057795288674
80,-69.07862165119536
81,-56.051035178420875
82,-129.84279443162447
83,-57.52824547415143
84,-33.95588342967528
85,-6.293885136990184
86,-110.36023495955882
87,-50.63852094903446
88,-53.36365835918828
89,-83.43926936459158
90,-28.465413968740762
91,-99.87624285848635
92,-54.44005217880557
93,0.09871634595359069
94,-71.07244724589141
95,-48.28780015818812
96,-52.81768327037344
97,-19.320343302489675
98,-70.98961797890468
99,-174.9316211413124
100,-12.568816446576733
101,-22.936672001399188
102,-26.277663973718376
103,-47.59830953637738
104,-18.69131510872829
105,-27.621983287740434
106,-64.56214225272514
107,-54.44147892654799
108,-28.579286447482247
109,-23.818139748601183
110,-0.18001444196809757
111,-158.64721587031448
112,-29.473633592286575
113,-57.92192502058052
114,-54.02659725520493
115,-24.833255231345717
116,12.824177524995108
117,-107.38935551683831
118,-15.83456546058477
119,-244.23512638368237
120,-23.136126867902576
121,-62.88211217006857
122,-38.26023315755191
123,-108.62688186559758
124,-12.814293621872949
125,-20.98067877138562
126,-53.731874820787525
127,-35.70599678978234
128,-81.61225124549071
129,-8.42463666564629
130,-61.49657255072741
131,-21.462058047649805
132,-127.04408360547616
133,-70.38340987787252
134,3.426938961808192
135,-9.846023093382604
136,-10.803099609995108
137,-266.70559950365663
138,-216.11975445444148
139,-91.5161574449274
140,-114.27365787460506
141,-52.690281395979795
142,41.6452007608336
143,-63.93465242481348
144,-29.309920143029807
145,-60.56613558990409
146,-81.54172959426387
147,-211.3329155597371
148,-210.15780150115344
149,-73.42576524811604
150,-166.01815359415846
151,2.2790444367382876
152,-73.45424102099174
153,-71.7763893488405
154,-46.110868361000406
155,15.261599831327585
156,113.01578893666057
157,14.544615392427461
158,41.14735673802155
159,20.012039286465
160,-33.20016933024479
161,6.797992304036333
162,23.439754559029474
163,-12.214536147385038
164,28.63778358458729
165,-15.74427243294879
166,9.806802775858744
167,6.345589605643394
168,40.57355259619412
169,-36.29897554644468
170,-30.589967011034414
171,-34.74152367172243
172,4.220266766070529
173,1.802381379242246
174,-31.778197540726246
175,-7.948920410928499
176,-18.624533126586783
177,-23.208005595930413
178,-3.121421974475631
179,0.9100744545564804
180,-18.047883099463267
181,12.648411683958226
182,-33.137461452287965
183,204.18138344761724
184,194.08688968360536
185,-46.32533214797405
186,253.7597779735283
187,220.45872982962933
188,-7.977243358218862
189,-40.21425463013464
190,-36.55410981728103
191,-18.17669657621712
192,-28.570454965568267
193,221.1342681366291
194,195.6166687898342
195,7.303018384433215
196,19.429782843133907
197,12.295444680897383
198,-164.37625089843698
199,207.32401601946765
200,-40.1201158457084
201,-17.854804551450048
202,195.92642330464298
203,-22.35151351927756
204,-6.4297875332126315
205,-16.833211679537275
206,195.0879761350654
207,-18.864895008176273
208,-6.8924980431882235
209,-14.436120244616909
210,-58.65236096627028
211,-33.63009902459211
212,-11.72064203741521
213,-34.29125523557257
214,232.99467451524862
215,-71.4930287635836
216,11.114144675707466
217,-25.693812391214546
218,191.01863428732145
219,-14.095789555638124
220,-52.99868880527531
221,-17.867264248840794
222,-42.63124983083181
223,14.0067882068053
224,-17.15070689967745
225,-40.41550962705561
226,153.76428370046068
227,-13.092668457988735
228,-41.39644732581198
229,173.84330139680964
230,-24.669913285679126
231,241.03475959516626
232,198.36348019342165
233,151.28921074566708
234,215.0741675020654
235,120.26799964593961
236,-52.76973085469505
237,164.83122145538533
238,-14.362423004683052
239,-27.92406977646165
240,9.193204299245068
241,220.46741635522224
242,199.10767074114315
243,-0.4661511362934476
244,-3.945033088603619
245,3.1582581524310185
246,252.46026281953561
247,138.36729913994742
248,260.8483821847212
249,218.7034679369317
250,231.68828952639728
251,45.664683487215555
252,216.1539911734515
253,268.579540098518
254,201.80487357313717
255,225.2318628070677
256,-48.09390002116846
257,-33.76729691121624
258,301.44658439774173
259,254.55350799009068
260,208.56033561068003
261,207.92612360589206
262,264.1191140587107
263,264.02652732409814
264,243.63887096504934
265,238.2655811112945
266,228.45317794124628
267,265.55627020778724
268,227.88047624188218
269,263.23429547867045
270,210.52816289051967
271,215.55571421493795
272,244.42772405896926
273,187.0734259435327
274,172.64814227263966
275,-110.07961680185946
276,194.51623754822376
277,170.813147137984
278,270.1200739539114
279,244.35182397127343
280,177.61541638170036
281,-30.83784729467549
282,201.3232600772016
283,258.2328260994339
284,194.11488497137617
285,225.9197096751597
286,222.6269433919822
287,257.37161301832566
288,174.08426850780756
289,211.51314651420245
290,199.18876329654626
291,211.56971780587511
292,-161.13528574083608
293,159.2807582051684
294,219.99507846056866
295,215.28551438576716
296,-66.1838693291696
297,228.10665483680714
298,200.71792532382906
299,258.2432734120112
300,155.26727104950533
301,262.2277590331772
302,239.72450536751737
303,164.28374754457474
304,218.06346851911098
305,249.06157691798109
306,255.5348515654658
307,224.64864102604025
308,258.5531214080359
309,262.98162615946126
310,232.63747681918463
311,251.78969413137315
312,267.0625357285349
313,219.51786163720442
314,10.353240322430233
315,208.51954151933793
316,211.95252183223127
317,231.70346831455117
318,14.312286951218354
319,-41.50020847969982
320,1.3975800776343605
321,235.09443655321047
322,-14.84220316142887
323,-87.7229176757848
324,-13.975726541468674
325,184.05650439659757
326,214.43735642461968
327,236.08278092965307
328,202.18208881739233
329,198.81135653898963
330,151.9428208918587
331,169.39880267976497
332,232.48535734990762
333,217.38460543174938
334,221.4469240158051
335,211.17050308052205
336,248.3177623406177
337,244.32033366778765
338,214.66588955239624
339,260.051834443976
340,209.05832122060997
341,193.8135963629071
342,271.593953959268
343,237.0511395584685
344,286.8083926458188
345,237.2980440942479
346,238.2578505506292
347,223.81077005700303
348,204.06767984157545
349,289.5964146580785
350,229.97841296199232
351,278.6403080632749
352,246.58627487375
353,213.9306209692088
354,278.78436140573154
355,208.6123167620629
356,270.535027610624
357,235.3290686827707
358,281.08139202413577
359,191.11751429828294
360,215.18982105327927
361,211.14556942936036
362,247.0495888855368
363,240.54373423934015
364,230.779318313158
365,279.3452987725396
366,241.10504087042344
367,236.6338198040479
368,81.60432415190306
369,280.70069297378876
370,198.34447840909735
371,217.48251042040076
372,233.84410122675274
373,227.45951005480805
374,201.3137884741419
375,292.5843610921502
376,228.46597682364964
377,200.48767224908806
378,205.12150818142925
379,225.99999127434947
380,197.88888397411768
381,225.93554248873613
